OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
140,NSW_FW002,2,North Coast,NSW,RFS,22,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
141,NSW_FW003,3,Greater Hunter,NSW,RFS,30,High,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
142,NSW_FW004,4,Greater Sydney Region,NSW,RFS,25,High,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
143,NSW_FW005,5,Illawarra/Shoalhaven,NSW,RFS,25,High,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
144,NSW_FW006,6,Far South Coast,NSW,RFS,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
145,NSW_FW007,7,Monaro Alpine,NSW,RFS,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
146,NSW_FW008,8,Australian Capital Territory,ACT,RFS,12,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
147,NSW_FW009,9,Southern Ranges,NSW,RFS,18,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
148,NSW_FW010,10,Central Ranges,NSW,RFS,21,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
149,NSW_FW011,11,New England,NSW,RFS,22,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
150,NSW_FW012,12,Northern Slopes,NSW,RFS,25,High,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
151,NSW_FW013,13,North Western,NSW,RFS,23,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
152,NSW_FW014,14,Upper Central West Plains,NSW,RFS,21,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
153,NSW_FW015,15,Lower Central West Plains,NSW,RFS,18,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
154,NSW_FW016,16,Southern Slopes,NSW,RFS,8,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
155,NSW_FW017,17,Eastern Riverina,NSW,RFS,12,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
156,NSW_FW018,18,Southern Riverina,NSW,RFS,14,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
157,NSW_FW019,19,Northern Riverina,NSW,RFS,14,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
158,NSW_FW020,20,South Western,NSW,RFS,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
159,NSW_FW021,21,Far Western,NSW,RFS,11,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
160,NT_FW001,1,Darwin and Adelaide River,NT,BOM,10,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
161,NT_FW002,2,Northern Fire Protection Area,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
162,NT_FW003,3,Daly South,NT,BOM,7,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
163,NT_FW004,4,Tiwi,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
164,NT_FW005,5,Arnhem West,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
165,NT_FW006,6,Arnhem East,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
166,NT_FW007,7,Katherine Fire Protection Zone,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
167,NT_FW008,8,Carpentaria West,NT,BOM,6,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
168,NT_FW009,9,Carpentaria East,NT,BOM,7,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
169,NT_FW010,10,Gregory North West,NT,BOM,8,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
170,NT_FW011,11,Gregory South East,NT,BOM,9,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
171,NT_FW012,12,Barkly North,NT,BOM,16,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
172,NT_FW013,13,Barkly South,NT,BOM,19,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
173,NT_FW014,14,Alice Springs Fire Protection Zone,NT,BOM,17,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
174,NT_FW015,15,Simpson West,NT,BOM,21,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
175,NT_FW016,16,Simpson East,NT,BOM,30,High,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
176,NT_FW017,17,Lasseter West,NT,BOM,18,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
177,NT_FW018,18,Lasseter East,NT,BOM,20,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
178,NT_FW019,19,Tanami North,NT,BOM,0,No Rating,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
179,NT_FW020,20,Tanami South,NT,BOM,13,Moderate,2,5/6/2026 2:30:00 PM,5/7/2026 2:30:00 PM,2026-05-06T14:30:00Z,2026-05-07T14:30:00Z
180,QLD_FW001,1,Peninsula,QLD,BOM,6,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
181,QLD_FW002,2,Gulf Country,QLD,BOM,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
182,QLD_FW003,3,Northern Goldfields and Upper Flinders,QLD,BOM,12,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
183,QLD_FW004,4,North Tropical Coast and Tablelands,QLD,BOM,8,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
184,QLD_FW005,5,Herbert and Lower Burdekin,QLD,BOM,6,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
185,QLD_FW006,6,Central Coast and Whitsundays,QLD,BOM,9,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
186,QLD_FW007,7,Capricornia,QLD,BOM,9,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
187,QLD_FW008,8,Central Highlands and Coalfields,QLD,BOM,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
188,QLD_FW009,9,Central West,QLD,BOM,18,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
189,QLD_FW010,10,North West,QLD,BOM,20,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
190,QLD_FW011,11,Channel Country,QLD,BOM,29,High,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
191,QLD_FW012,12,Maranoa and Warrego,QLD,BOM,20,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
192,QLD_FW013,13,Darling Downs and Granite Belt,QLD,BOM,19,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
193,QLD_FW014,14,Wide Bay and Burnett,QLD,BOM,12,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
194,QLD_FW015,15,Southeast Coast,QLD,BOM,12,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
195,SA_FW001,1,Adelaide Metropolitan,SA,BOM,6,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
196,SA_FW002,2,Yorke Peninsula,SA,BOM,12,Moderate,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
197,SA_FW003,3,Kangaroo Island,SA,BOM,9,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
198,SA_FW004,4,Upper South East,SA,BOM,8,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
199,SA_FW005,5,Lower South East,SA,BOM,7,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
200,SA_FW006,6,Riverland,SA,BOM,8,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
201,SA_FW007,7,Murraylands,SA,BOM,10,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
202,SA_FW008,8,Mid North,SA,BOM,8,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
203,SA_FW009,9,Flinders,SA,BOM,7,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
204,SA_FW010,10,West Coast,SA,BOM,10,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
205,SA_FW011,11,Eastern Eyre Peninsula,SA,BOM,9,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
206,SA_FW012,12,Lower Eyre Peninsula,SA,BOM,9,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
207,SA_FW013,13,North West Pastoral,SA,BOM,9,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
208,SA_FW014,14,North East Pastoral,SA,BOM,14,Moderate,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
209,SA_FW015,15,Mount Lofty Ranges,SA,BOM,11,No Rating,2,5/4/2026 2:30:00 PM,5/5/2026 2:30:00 PM,2026-05-04T14:30:00Z,2026-05-05T14:30:00Z
210,TAS_FW001,1,Furneaux Islands,TAS,BOM,16,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
211,TAS_FW002,2,North East,TAS,BOM,13,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
212,TAS_FW003,3,East Coast,TAS,BOM,19,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
213,TAS_FW004,4,Central North,TAS,BOM,15,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
214,TAS_FW005,5,Midlands,TAS,BOM,18,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
215,TAS_FW006,6,South East,TAS,BOM,19,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
216,TAS_FW007,7,Upper Derwent Valley,TAS,BOM,15,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
217,TAS_FW008,8,Central Plateau,TAS,BOM,14,Moderate,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
218,TAS_FW009,9,Western,TAS,BOM,9,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
219,TAS_FW010,10,North West Coast,TAS,BOM,7,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
220,TAS_FW011,11,King Island,TAS,BOM,6,No Rating,2,5/6/2026 2:00:00 PM,5/7/2026 2:00:00 PM,2026-05-06T14:00:00Z,2026-05-07T14:00:00Z
221,VIC_FW001,1,Mallee,VIC,BOM,13,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
222,VIC_FW002,2,Wimmera,VIC,BOM,14,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
223,VIC_FW003,3,Northern Country,VIC,BOM,11,No Rating,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
224,VIC_FW004,4,North East,VIC,BOM,7,No Rating,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
225,VIC_FW005,5,East Gippsland,VIC,BOM,13,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
226,VIC_FW006,6,West and South Gippsland,VIC,BOM,14,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
227,VIC_FW007,7,Central,VIC,BOM,14,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
228,VIC_FW008,8,North Central,VIC,BOM,11,No Rating,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
229,VIC_FW009,9,South West,VIC,BOM,13,Moderate,2,5/4/2026 2:00:00 PM,5/5/2026 2:00:00 PM,2026-05-04T14:00:00Z,2026-05-05T14:00:00Z
230,WA_FW041,1,North Kimberley,WA,DFES,6,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
231,WA_FW042,2,Derby Coast,WA,DFES,7,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
232,WA_FW043,3,Broome Coast,WA,DFES,7,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
233,WA_FW044,6,Hedland,WA,DFES,41,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
234,WA_FW045,7,Burrup,WA,DFES,37,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
235,WA_FW046,9,Ashburton Coast,WA,DFES,24,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
236,WA_FW047,5,Central Pilbara,WA,DFES,29,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
237,WA_FW048,12,Gascoyne Coast,WA,DFES,29,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
238,WA_FW049,13,Gascoyne Inland,WA,DFES,26,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
239,WA_FW050,14,Yalgar,WA,DFES,24,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
240,WA_FW051,17,West Interior,WA,DFES,23,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
241,WA_FW052,18,Central Interior,WA,DFES,30,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
242,WA_FW053,21,Midwest Coast,WA,DFES,24,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
243,WA_FW054,22,Midwest Inland,WA,DFES,23,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
244,WA_FW055,23,Lesueur,WA,DFES,21,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
245,WA_FW056,24,Yarra Yarra,WA,DFES,19,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
246,WA_FW057,34,Mortlock,WA,DFES,19,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
247,WA_FW058,35,Karroun,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
248,WA_FW059,37,Lockwood,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
249,WA_FW060,15,North Goldfields,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
250,WA_FW061,16,South Goldfields,WA,DFES,6,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
251,WA_FW062,19,South Interior,WA,DFES,19,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
252,WA_FW063,25,Swan Coastal North,WA,DFES,15,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
253,WA_FW064,26,Swan Inland North,WA,DFES,19,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
254,WA_FW066,27,Swan Coastal South,WA,DFES,12,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
255,WA_FW067,28,Swan Inland South,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
256,WA_FW068,31,Brockman,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
257,WA_FW069,30,Capes,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
258,WA_FW070,33,Southern Forests,WA,DFES,15,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
259,WA_FW071,32,Blackwood,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
260,WA_FW072,38,Arthur,WA,DFES,15,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
261,WA_FW073,42,Stirling West,WA,DFES,13,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
262,WA_FW074,41,Stirling North,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
263,WA_FW075,44,Fitzgerald Coast,WA,DFES,13,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
264,WA_FW076,45,Fitzgerald Inland,WA,DFES,14,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
265,WA_FW077,46,Esperance Coast,WA,DFES,12,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
266,WA_FW078,47,Esperance Inland,WA,DFES,11,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
267,WA_FW079,4,Kimberley Inland,WA,DFES,14,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
268,WA_FW080,8,Ashburton Inland,WA,DFES,27,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
269,WA_FW081,10,Exmouth Gulf Coast,WA,DFES,21,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
270,WA_FW082,20,Eucla,WA,DFES,7,No Rating,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
271,WA_FW083,11,North Interior,WA,DFES,25,High,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
272,WA_FW084,29,Geographe,WA,DFES,15,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
273,WA_FW085,43,Stirling Coast,WA,DFES,13,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
274,WA_FW086,39,Roe,WA,DFES,16,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
275,WA_FW087,40,Lakes,WA,DFES,15,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
276,WA_FW088,36,Avon,WA,DFES,17,Moderate,2,5/6/2026 4:00:00 PM,5/7/2026 4:00:00 PM,2026-05-06T16:00:00Z,2026-05-07T16:00:00Z
277,NSW_FW001,1,Far North Coast,NSW,RFS,14,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
278,NSW_FW002,2,North Coast,NSW,RFS,19,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
279,NSW_FW003,3,Greater Hunter,NSW,RFS,22,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
280,NSW_FW004,4,Greater Sydney Region,NSW,RFS,18,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
281,NSW_FW005,5,Illawarra/Shoalhaven,NSW,RFS,20,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
282,NSW_FW006,6,Far South Coast,NSW,RFS,13,Moderate,3,5/7/2026 2:00:00 PM,5/8/2026 2:00:00 PM,2026-05-07T14:00:00Z,2026-05-08T14:00:00Z
