OBJECTID,AAC,District Number,DIST_NAME,State Code,Source,Fire Behaviour Index,Fire Danger,Forecast_Period,Start_Time,End_Time,Start_Time_UTC_str,End_Time_UTC_str
32,NT_FW011,11,Gregory South East,NT,BOM,9,No Rating,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
33,NT_FW012,12,Barkly North,NT,BOM,14,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
34,NT_FW013,13,Barkly South,NT,BOM,16,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
35,NT_FW014,14,Alice Springs Fire Protection Zone,NT,BOM,11,No Rating,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
36,NT_FW015,15,Simpson West,NT,BOM,15,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
37,NT_FW016,16,Simpson East,NT,BOM,21,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
38,NT_FW017,17,Lasseter West,NT,BOM,14,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
39,NT_FW018,18,Lasseter East,NT,BOM,14,Moderate,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
40,NT_FW019,19,Tanami North,NT,BOM,0,No Rating,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
41,NT_FW020,20,Tanami South,NT,BOM,10,No Rating,1,5/5/2026 7:36:00 PM,5/6/2026 2:30:00 PM,2026-05-05T19:36:00Z,2026-05-06T14:30:00Z
42,QLD_FW001,1,Peninsula,QLD,BOM,6,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
43,QLD_FW002,2,Gulf Country,QLD,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
44,QLD_FW003,3,Northern Goldfields and Upper Flinders,QLD,BOM,10,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
45,QLD_FW004,4,North Tropical Coast and Tablelands,QLD,BOM,8,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
46,QLD_FW005,5,Herbert and Lower Burdekin,QLD,BOM,7,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
47,QLD_FW006,6,Central Coast and Whitsundays,QLD,BOM,9,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
48,QLD_FW007,7,Capricornia,QLD,BOM,8,No Rating,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
49,QLD_FW008,8,Central Highlands and Coalfields,QLD,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
50,QLD_FW009,9,Central West,QLD,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
51,QLD_FW010,10,North West,QLD,BOM,15,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
52,QLD_FW011,11,Channel Country,QLD,BOM,18,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
53,QLD_FW012,12,Maranoa and Warrego,QLD,BOM,14,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
54,QLD_FW013,13,Darling Downs and Granite Belt,QLD,BOM,13,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
55,QLD_FW014,14,Wide Bay and Burnett,QLD,BOM,12,Moderate,1,5/5/2026 2:00:00 PM,5/6/2026 2:00:00 PM,2026-05-05T14:00:00Z,2026-05-06T14:00:00Z
